,First Name,Lastname,university of PhD,university of PhD ID,department of PhD,year of PhD,current university,current university ID,department of current faculty,year faculty started,job title
0,JAN,LEUCHTENBERGER,University of Michigan,108.0,,2005,University of Puget Sound,365,Asian Languages & Cultures,,Associate Professor and Director
1,MENGJUN,LI,The Ohio State University,172.0,,2014,University of Puget Sound,365,Asian Languages & Cultures,,Assistant Professor
4,WILLIAM,BARRY,University of Michigan,108.0,,1988,University of Puget Sound,365,Classics,,Professor
5,AISLINN,MELCHIOR,University of Pennsylvania,144.0,,2004,University of Puget Sound,365,Classics,,Professor
6,ERIC,ORLIN,University of California-Berkeley,1.0,,1994,University of Puget Sound,365,Classics,,Professor and Chair
8,MEGAN,DANIELS,Stanford University,232.0,,2016,University of Puget Sound,365,Classics,,Lora Bryning Redford Post-Doctoral Fellow in Archeology
9,RACHEL,DEMOTTS,University of Wisconsin-Madison,16.0,,2005,University of Puget Sound,365,Environmental Policy & Decision Making,,Associate Professor
10,LEA,FORTMANN,The Ohio State University,172.0,,2014,University of Puget Sound,365,Environmental Policy & Decision Making,,Assistant Professor
11,KENA,FOX-DOBBS,University of California-Santa Cruz,15.0,,2006,University of Puget Sound,365,Environmental Policy & Decision Making,,Associate Professor
12,PETER,HODUM,University of California-Davis,6.0,,1999,University of Puget Sound,365,Environmental Policy & Decision Making,,Associate Professor
13,DANIEL,SHERMAN,Cornell University,245.0,,2004,University of Puget Sound,365,Environmental Policy & Decision Making,,Professor
14,PETER,WIMBERGER,Cornell University,245.0,,1991,University of Puget Sound,365,Environmental Policy & Decision Making,,Professor
15,DIANE,KELLEY,University of California-Los Angeles,2.0,,1998,University of Puget Sound,365,French Studies,,Professor
16,MICHEL,ROCCHI,University of Washington,24.0,,1980,University of Puget Sound,365,French Studies,,Professor and Chair
17,FRANCOISE,BELOT,University of Washington,24.0,,2013,University of Puget Sound,365,French Studies,,Visiting Instructor
21,TERENCE,BECK,University of Washington,24.0,,2000,University of Puget Sound,365,Gender & Queer Studies,,Professor
22,DEREK,BUESCHER,University of Utah,63.0,,2003,University of Puget Sound,365,Gender & Queer Studies,,Professor and Co-Chair
25,PRITI,JOSHI,Rutgers University,233.0,,1998,University of Puget Sound,365,Gender & Queer Studies,,Professor
26,ALISA,KESSEL,Duke University,20.0,,2006,University of Puget Sound,365,Gender & Queer Studies,,Associate Professor and Chair
27,LAURA,KRUGHOFF,University of Illinois-Chicago,117.0,,2014,University of Puget Sound,365,Gender & Queer Studies,,Assistant Professor
29,BRETT,ROGERS,Stanford University,232.0,,2005,University of Puget Sound,365,Gender & Queer Studies,,Associate Professor
30,AMY,RYKEN,University of California-Berkeley,1.0,,2001,University of Puget Sound,365,Gender & Queer Studies,,Professor
